Grant Title,Agency,Category,Short Summary,URL,Posted Date,Deadline,Days Left,Last Seen,Source,_id
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/a7d210c3-a31d-4c04-a39e-6b5206dc858f,2024-11-25,2025-03-10,,2025-10-12,simpler.grants.gov,380545b47009218b
,Bureau of International Labor Affairs,,Description,https://simpler.grants.gov/opportunity/cc3cdd95-438f-45fb-b88d-639a0a9c7893,2024-08-26,2025-03-10,,2025-10-12,simpler.grants.gov,381e49c2ab7273a6
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/ff69bb8e-dc6f-4e46-931f-deb681aaa38a,2025-05-28,2025-03-10,,2025-10-12,simpler.grants.gov,3830c90b8a9f3b70
,DOC NOAA - ERA Production,,Description,https://simpler.grants.gov/opportunity/d608e124-edb6-4788-85f1-65c924070f62,2024-07-29,2025-03-10,,2025-10-12,simpler.grants.gov,38850e86d260d71a
,Indian Health Service,,Description,https://simpler.grants.gov/opportunity/f329b347-9301-47e5-919b-0b0c6be9facc,2025-08-14,2025-03-10,,2025-10-12,simpler.grants.gov,38c00cb3331319f9
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/6109a72d-3249-473f-9ee0-8b7ec9452356,2025-09-10,2025-03-10,,2025-10-12,simpler.grants.gov,38e28966a2081289
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f2a0e432-aac6-4caf-bc3a-a78ca52f4751,2024-11-05,2025-03-10,,2025-10-12,simpler.grants.gov,38ed1c109d3249d3
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/467d530f-00aa-485d-ace6-af05d7b4d5f1,2024-02-26,2025-03-10,,2025-10-12,simpler.grants.gov,38f20c6a85a6744a
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/b4fa1b3f-5959-4963-b394-976a06404005,2025-10-01,2025-03-10,,2025-10-12,simpler.grants.gov,39cc3b3d323dc600
,Millennium Challenge Corporation,,Description,https://simpler.grants.gov/opportunity/bb9991ad-d1e7-4376-afd9-06d623254c40,2021-02-04,2025-03-10,,2025-10-12,simpler.grants.gov,39d067c527921100
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/69d90b5e-9e51-4fb3-b2d8-5e36c55a9714,2024-11-02,2025-03-10,,2025-10-12,simpler.grants.gov,39f2309fa53f89b3
,U.S. Mission to the United Nations,,Description,https://simpler.grants.gov/opportunity/058dfbec-211e-4892-a155-6c03e4b2eff3,2022-11-10,2025-03-10,,2025-10-12,simpler.grants.gov,39fede7057a92893
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/84e0a1e2-18c0-422b-8ac7-1618bf4597e9,2024-02-14,2025-03-10,,2025-10-12,simpler.grants.gov,3a0e3501098b63d5
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/a3e91dba-dd69-4d33-8631-09544b5c72b9,2025-08-22,2025-03-10,,2025-10-12,simpler.grants.gov,3a834be074535b67
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/21ed7add-8ae8-41e9-a228-c712a33d7095,2023-01-09,2025-03-10,,2025-10-12,simpler.grants.gov,3a96282b15df16be
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/83a0f6eb-7ed1-4d8f-8f83-a18249f16157,2025-01-13,2025-03-10,,2025-10-12,simpler.grants.gov,3abcae705a0e3dd7
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/7be8c36d-5f71-4ae7-8201-8dca6b6f5fe1,2023-04-05,2025-03-10,,2025-10-12,simpler.grants.gov,3ac38fcea5a4e8fd
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/5cc4167f-f753-47ab-890a-54173d8226a7,2024-04-23,2025-03-10,,2025-10-12,simpler.grants.gov,3af68ada8d59b822
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/0430f169-66e0-47ef-8fef-40258a759c8e,2024-12-11,2025-03-10,,2025-10-12,simpler.grants.gov,3afb6d04bf7eb472
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/6984b3ab-ea7d-446a-9d98-5f85b8e57b87,2025-01-02,2025-03-10,,2025-10-12,simpler.grants.gov,3b544404b0d8345d
,NASA Headquarters,,Description,https://simpler.grants.gov/opportunity/7a47a9e5-8b24-464a-9363-47d5fbe59048,2025-02-21,2025-02-21,,2025-10-12,simpler.grants.gov,3b5c8a9378705259
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/71882739-701c-46ea-a4f3-90a36d22ade7,2024-11-25,2025-03-10,,2025-10-12,simpler.grants.gov,3b67bea08997f868
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/e6969b26-53d6-4661-8f5e-a2405a9eb8b5,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,3b6dd73240755f7a
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/ddf277ec-eb97-4b7c-8a2b-9a6621cf9b6b,2024-11-06,2025-03-10,,2025-10-12,simpler.grants.gov,3babae6b41a0b879
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/17d36727-bf09-48cb-8536-15ea4567240f,2024-04-24,2025-03-10,,2025-10-12,simpler.grants.gov,3bcc7f4f1a4f9c5e
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/5edf6eec-e8eb-4a55-a914-5c6077ef8e64,2025-09-18,2025-03-10,,2025-10-12,simpler.grants.gov,3bf589ed6e49de94
,FAA-COE-JAMS,,Description,https://simpler.grants.gov/opportunity/5cbcf015-ea67-4e2d-ba06-d129fcb90301,2023-11-01,2023-11-01,,2025-10-12,simpler.grants.gov,3bfbaaccbb96b0b2
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/7f7fc695-bf53-4e92-9a57-53a847da2718,2025-04-10,2025-03-10,,2025-10-12,simpler.grants.gov,3c6a8e70fafc9c39
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/d6cb4aa6-daa7-460b-89af-6e756d2dab5d,2025-05-13,2025-03-10,,2025-10-12,simpler.grants.gov,3c7c1d198c2ed2fb
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/6580154f-6ed6-4df4-823d-d404ec960c7d,2024-11-13,2025-03-10,,2025-10-12,simpler.grants.gov,3c7c6aeaa602f9ff
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/5eee2aa1-5761-4fdb-a0d0-835245a05a86,2022-07-06,2025-03-10,,2025-10-12,simpler.grants.gov,3cac3cda621537ba
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/65295793-30aa-451a-9c1e-eba7ac05749b,2025-10-01,2025-03-10,,2025-10-12,simpler.grants.gov,3d13dcd89a5bae22
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/bbf0a18c-1e2f-45ef-acd6-980df3828974,2025-05-12,2025-03-10,,2025-10-12,simpler.grants.gov,3d1978b40a511128
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/fd73b759-cd22-44a0-80e9-5d2c2b8cae0b,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,3d2006882723c361
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/74072dd0-e80a-4e5e-8c5c-910a52a60682,2023-11-30,2025-03-10,,2025-10-12,simpler.grants.gov,3d38248a2b900a9c
,U.S. Mission to the Netherlands,,Description,https://simpler.grants.gov/opportunity/f6e04e5d-0a58-493f-b26a-df1447f46987,2021-08-02,2025-03-10,,2025-10-12,simpler.grants.gov,3d5b013f1c5a9052
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/7c48bf54-83d3-48ec-b83a-f0723c9cd31b,2023-01-09,2025-03-10,,2025-10-12,simpler.grants.gov,3d5ca97e142748ec
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/a86adccf-1577-4f68-9f2f-e9e0c5ab46f2,2024-12-18,2025-03-10,,2025-10-12,simpler.grants.gov,3d7c1f7cacd04d6a
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f29cc44b-ea0c-460c-94a7-cc1c2c454134,2025-01-08,2025-03-10,,2025-10-12,simpler.grants.gov,3da5e652cdcc5c9c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/de571551-37bc-4b3a-a20e-87f3e9f15cb4,2024-12-31,2025-03-10,,2025-10-12,simpler.grants.gov,3db22e6e3e455887
,Centers for Disease Control - NCIPC,,Description,https://simpler.grants.gov/opportunity/6d6bc91c-b3dc-4a7d-8210-c7e1b745d07a,2025-09-30,2025-03-10,,2025-10-12,simpler.grants.gov,3ddd16c250326800
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/1154d950-fe5b-4fe7-b92e-70f016dff157,2025-01-10,2025-03-10,,2025-10-12,simpler.grants.gov,3dfb1ec029d7c111
,National Endowment for the Humanities,,Description,https://simpler.grants.gov/opportunity/b27a665f-175a-43c2-afbd-c36ed3e798fe,2024-10-17,2025-03-10,,2025-10-12,simpler.grants.gov,3e07fea4a069f5f8
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/424190a4-2eb4-4b7c-8b8f-46b92bdee5fc,2024-10-31,2025-03-10,,2025-10-12,simpler.grants.gov,3e62b383ce20a04f
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/30da0305-7c5c-4645-8f5b-db3a53c64e19,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,3e901afa22acaf3a
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/acffb1c8-72a8-4b71-b471-6a06ca698ab2,2025-09-10,2025-03-10,,2025-10-12,simpler.grants.gov,3e9824240208895a
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/63fcde7a-720c-4416-a5e1-1c280bd97345,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,3ebe29beb37d45bb
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/04cf4e58-5a89-47a9-b4c7-a1388edac495,2024-10-30,2025-03-10,,2025-10-12,simpler.grants.gov,3ee41c17b572fb37
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/d6184a1a-b28e-4e94-bd51-edbba0225800,2025-09-05,2025-03-10,,2025-10-12,simpler.grants.gov,3f01c3bd30506eb7
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/adaba63e-eba9-44d2-b735-0458b59b9b01,2021-12-24,2025-03-10,,2025-10-12,simpler.grants.gov,3f01e24d63435ce7
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/48bdee97-4e5b-4007-adb6-6cec26426118,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,3f110418d5cae2a0
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f0f9b58b-5e49-4cec-b9c1-feb66b067b06,2025-09-15,2025-03-10,,2025-10-12,simpler.grants.gov,3f2a103809bdf356
,Agency for Health Care Research and Quality,,Description,https://simpler.grants.gov/opportunity/cca49e8c-a5a0-4323-bf0a-00e95c68703c,2024-02-06,2025-03-10,,2025-10-12,simpler.grants.gov,3f6165500a67012f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/e9b4c9a6-ebd2-44cb-9eaf-6f0d45686812,2025-01-08,2025-03-10,,2025-10-12,simpler.grants.gov,3f85f2326e99153f
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/43e1a3cc-7e23-4d34-b239-ef90fe120504,2025-08-04,2025-03-10,,2025-10-12,simpler.grants.gov,3fc9a2ac8d984f77
,Region 4,,Description,https://simpler.grants.gov/opportunity/83723d4b-4060-4696-8469-db94211c3253,2008-06-17,2025-03-10,,2025-10-12,simpler.grants.gov,3fe5fb9d5a44d057
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/9b4ae9e9-8f44-494c-9f45-95774b2c84f4,2025-06-16,2025-03-10,,2025-10-12,simpler.grants.gov,403d679241dedd2c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/28447a6d-528d-48ce-a29f-a9ad09972507,2024-11-13,2025-03-10,,2025-10-12,simpler.grants.gov,405b3f345f77e33e
,Economic Development Administration,,Description,https://simpler.grants.gov/opportunity/b5365cea-b07c-4e8d-8313-e23ab0fd3766,2023-03-14,2025-03-10,,2025-10-12,simpler.grants.gov,406250dac9330e90
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/a975ac4b-ca02-4d2b-8dcd-c75493f04087,2025-06-06,2025-03-10,,2025-10-12,simpler.grants.gov,406bebdbf1c4afbc
,NCA Contracting,,Description,https://simpler.grants.gov/opportunity/45d10f0c-ba65-45b2-8282-8a18fab15678,2021-06-01,2021-06-01,,2025-10-12,simpler.grants.gov,409b688e050907da
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/3ee06017-f1a4-46fe-927a-5ad04277fc0d,2023-05-24,2025-03-10,,2025-10-12,simpler.grants.gov,409e14ed8a18b10a
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/80f4ff32-4962-4c26-890e-308ca5501fc5,2025-05-09,2025-03-10,,2025-10-12,simpler.grants.gov,40b836271c8e152e
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/6044773a-6221-44e4-81e9-e61c47d4119a,2025-09-09,2025-03-10,,2025-10-12,simpler.grants.gov,40e2bedc3a78269f
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/3df028f3-f97a-4cdf-9359-1c6515d091ce,2025-09-15,2025-03-10,,2025-10-12,simpler.grants.gov,40e8e26ed3f9097e
,National Institute of Standards and Technology,,Description,https://simpler.grants.gov/opportunity/bea1d82b-0d5f-431a-938f-9b7a2eff75b2,2020-12-28,2025-03-10,,2025-10-12,simpler.grants.gov,411d2153f703d7ce
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/22fffed1-95b8-4e7d-ae89-429de98b2f55,2024-11-20,2025-03-10,,2025-10-12,simpler.grants.gov,4122bf442296dc36
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/95f07941-3444-4020-98cb-d06e04449f23,2025-05-27,2025-03-10,,2025-10-12,simpler.grants.gov,418b2884fc35f697
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/1c78cc36-ef5b-43ad-805d-b0b46faee849,2025-01-31,2025-03-10,,2025-10-12,simpler.grants.gov,41bbbb092951c84e
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/9aea1523-3187-471c-859e-cacb890941c7,2025-09-16,2025-03-10,,2025-10-12,simpler.grants.gov,41bc4abd4cb0a7b4
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/822e0adf-e40d-476c-9c26-7b96a248acaa,2023-11-30,2025-03-10,,2025-10-12,simpler.grants.gov,41e7de15cbb59f4c
,National Park Service,,Description,https://simpler.grants.gov/opportunity/1403e52f-bb9e-4e53-ac0e-7315a90aec14,2012-01-30,2025-03-10,,2025-10-12,simpler.grants.gov,41f220056dd7453f
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/9db5c0ab-0ed9-4cf4-b00b-6fe7d13bf9c6,2025-07-21,2025-03-10,,2025-10-12,simpler.grants.gov,41fb920e2adc2866
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/c78e5e03-7214-4441-9e2c-0f97eb3bd523,2022-11-23,2025-03-10,,2025-10-12,simpler.grants.gov,41fdd9bfcbadc439
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/b8c40571-2c9c-4b32-ada9-bfd4273d865c,2025-10-01,2025-03-10,,2025-10-12,simpler.grants.gov,421ede6993e66f71
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/4aca7baf-a77f-4e98-a930-fd89fae62104,2025-04-16,2025-03-10,,2025-10-12,simpler.grants.gov,4223d59ab1f204a7
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/86e848c2-6ff6-4b35-a18b-bc2d031f81c1,2025-09-02,2025-03-10,,2025-10-12,simpler.grants.gov,423d2d562db9a08f
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/5f042539-94e0-4e97-b1e1-4de4b4d939c8,2025-10-02,2025-03-10,,2025-10-12,simpler.grants.gov,428bb1676f5ec51d
,NASA Headquarters,,Description,https://simpler.grants.gov/opportunity/bd25ca9d-4eb3-4784-91ea-671f5ef1c1fa,2025-07-10,2025-03-10,,2025-10-12,simpler.grants.gov,42cc55e07c3e7a5e
,Agency for Health Care Research and Quality,,Description,https://simpler.grants.gov/opportunity/fb4a6c15-cb0b-47e5-8901-2d3ab04d88c5,2021-10-21,2025-03-10,,2025-10-12,simpler.grants.gov,42eca99664ecad4d
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/f850e23c-1c5b-4b29-bd41-21db2a79e851,2023-09-28,2025-03-10,,2025-10-12,simpler.grants.gov,42f658c1af6cf16d
,U.S. Mission to Angola,,Description,https://simpler.grants.gov/opportunity/03312979-edd6-4061-b418-2dda932d044b,2025-04-30,2025-03-10,,2025-10-12,simpler.grants.gov,4314e8d298ddd48c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/bb697296-f13f-454c-bf67-a7a0077da134,2024-10-29,2025-03-10,,2025-10-12,simpler.grants.gov,4317b3ed24e03c6c
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/d87d3264-4bd8-470d-9b31-29bebd33c707,2025-08-28,2025-03-10,,2025-10-12,simpler.grants.gov,43356a99ee65cdd1
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/9d99eac6-dcd5-46ad-a2de-33cf63b41c53,2025-05-27,2025-03-10,,2025-10-12,simpler.grants.gov,43495576d8bc822d
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/b1294532-ea01-4038-890c-0bf56d09ffd5,2024-07-04,2025-03-10,,2025-10-12,simpler.grants.gov,4368f0bcefea95e1
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/349e5f80-2ca6-4f57-a5a0-5d753af4bfa2,2024-12-03,2025-03-10,,2025-10-12,simpler.grants.gov,436ccafa05027863
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/ad915364-00bf-4782-8a03-4852d074f6e8,2025-09-17,2025-03-10,,2025-10-12,simpler.grants.gov,43ba26b77d7e64e9
,National Aeronautics and Space Administration,,Description,https://simpler.grants.gov/opportunity/22efce45-aaf7-4a38-9546-33067f7af9ec,2018-03-23,2025-03-10,,2025-10-12,simpler.grants.gov,43c79606c4e3f690
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/1507154d-ede8-4bd5-9a59-1741f3577c0a,2025-05-27,2025-03-10,,2025-10-12,simpler.grants.gov,43fe8e140746d091
,Office of the Assistant Secretary for Health,,Description,https://simpler.grants.gov/opportunity/785bf1c9-11f8-4133-b550-70bcd2df50a2,2025-04-25,2025-03-10,,2025-10-12,simpler.grants.gov,44283621f353d920
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/4abe9c3d-1440-49c8-8e79-afc7650a4c56,2025-05-27,2025-03-10,,2025-10-12,simpler.grants.gov,442f9a5a3d853dd3
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/f2962c5c-c50f-441d-b0c3-7a5aedbf597d,2024-12-02,2025-03-10,,2025-10-12,simpler.grants.gov,4440f84b893418b5
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/1068d706-36d8-4f1d-ac25-c3233f27669a,2025-06-27,2025-03-10,,2025-10-12,simpler.grants.gov,444bbeb4bdcc47a4
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/a1498213-87dc-41ef-b4d1-cdda9c8fe538,2024-02-08,2025-03-10,,2025-10-12,simpler.grants.gov,447fa9e8c051db1a
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/79bd256b-e836-4899-86eb-ceaf14042fcc,2024-11-05,2025-03-10,,2025-10-12,simpler.grants.gov,4486eb64d7fcda09
,U.S. Mission to Italy,,Description,https://simpler.grants.gov/opportunity/01e3da3a-8032-4932-88c3-d97329a14eb9,2023-02-09,2025-03-10,,2025-10-12,simpler.grants.gov,451e7c4ce067149d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/794f8651-1533-4fe3-b95c-4e4983c3e050,2023-11-08,2025-03-10,,2025-10-12,simpler.grants.gov,4564734fcc174bce
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/2befce90-5f24-460d-b5a8-b787e23e3b39,2025-01-08,2025-03-10,,2025-10-12,simpler.grants.gov,45a7445cf47a7113
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/730f6c11-0696-4423-a8b3-1c8878bb83d2,2024-06-28,2025-03-10,,2025-10-12,simpler.grants.gov,45d69676c822927d
,Fish and Wildlife Service,,Description,https://simpler.grants.gov/opportunity/b2b5c738-eb94-4f3f-afc6-f9f14f1f7ec1,2025-08-04,2025-03-10,,2025-10-12,simpler.grants.gov,461fad7724a8323e
,DARPA - Defense Sciences Office,,Description,https://simpler.grants.gov/opportunity/15d9d591-bf91-4bdd-a065-75055dd53903,2025-06-03,2025-03-10,,2025-10-12,simpler.grants.gov,462bbc4fb26d47e9
,Centers for Disease Control and Prevention - ERA,,Description,https://simpler.grants.gov/opportunity/2f7653ca-0a87-4ffc-95bb-f40387906f8c,2023-10-20,2025-03-10,,2025-10-12,simpler.grants.gov,468c95a81856ec54
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/97e7fa32-4f8f-45a0-847a-3f84f1ac56fb,2025-05-23,2025-03-10,,2025-10-12,simpler.grants.gov,46ab98e03195b63a
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/d3c485a1-3b7f-46db-bf25-cdfc9f6b2f20,2023-09-21,2025-03-10,,2025-10-12,simpler.grants.gov,46cfe5a3af7d7a47
,U.S. Mission to Mozambique,,Description,https://simpler.grants.gov/opportunity/6555b91e-c017-4f0f-ae71-3d682d14c7fe,2021-06-22,2025-03-10,,2025-10-12,simpler.grants.gov,46f47878c12b83b5
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/d048f1ed-9dde-4787-bcd4-b42ae96a80e1,2023-06-18,2025-03-10,,2025-10-12,simpler.grants.gov,47498793d0312ab0
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/2851fc95-ac9b-4009-9867-795d8f296e3d,2025-06-17,2025-03-10,,2025-10-12,simpler.grants.gov,4766040daa43ba17
,Dept of the Army -- Materiel Command,,Description,https://simpler.grants.gov/opportunity/8ad02b0a-1712-4da7-9ce5-247363b661ab,2023-05-01,2025-03-10,,2025-10-12,simpler.grants.gov,4796ba7279f6726a
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/04b31ad6-4390-4bcb-95d0-a75d25ddbae2,2024-06-25,2025-03-10,,2025-10-12,simpler.grants.gov,47b9a34f71d1459b
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/0fdfd37a-81fa-4e99-95ab-4cd87ea3c518,2024-08-22,2025-03-10,,2025-10-12,simpler.grants.gov,47e3305f420b4cc4
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/d63317d6-604b-40ea-b604-254809abcea3,2022-08-01,2025-03-10,,2025-10-12,simpler.grants.gov,481938223c307f92
,Fish and Wildlife Service,,Description,https://simpler.grants.gov/opportunity/f0f72952-f080-4a94-b774-a2b9549ef1b1,2025-07-21,2025-03-10,,2025-10-12,simpler.grants.gov,484024d2a12f9500
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/bab9ddd0-0fd0-4153-b023-115f0d286991,2024-12-30,2025-03-10,,2025-10-12,simpler.grants.gov,486f078b66f03e3d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/4dd61e81-d44e-4e85-a0e2-c422124fd0b9,2025-06-10,2025-03-10,,2025-10-12,simpler.grants.gov,488173247c793bd6
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/d0033870-c493-41da-a2e3-98e2e341ea90,2023-11-21,2025-03-10,,2025-10-12,simpler.grants.gov,4899c7ec3994e988
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/51b82fab-aeb5-4163-af35-134280b10125,2025-08-22,2025-03-10,,2025-10-12,simpler.grants.gov,489c039c4a56f0de
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/6380c377-6ef3-4d7e-98e5-66a334148507,2020-01-11,2025-03-10,,2025-10-12,simpler.grants.gov,48be0dffccda4428
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/b8580d95-b0a9-4a13-9f06-9dff2e34b2c4,2023-09-21,2025-03-10,,2025-10-12,simpler.grants.gov,48f8d945e5f68ca9
,U.S. Mission to Venezuela,,Description,https://simpler.grants.gov/opportunity/abc35420-5769-4104-a8aa-663a3f25a607,2021-05-04,2025-03-10,,2025-10-12,simpler.grants.gov,49016c480decc575
,Administration for Community Living,,Description,https://simpler.grants.gov/opportunity/33eb0f36-ec9c-4fb9-aa71-c7ba883e0411,2023-07-20,2025-03-10,,2025-10-12,simpler.grants.gov,49621cc0ffc9d858
,U.S. Mission to Djibouti,,Description,https://simpler.grants.gov/opportunity/5b56ac84-232c-44a4-adb9-6094c341ddbf,2024-02-11,2025-03-10,,2025-10-12,simpler.grants.gov,49a058f06ddc2ae3
,ACC-APG-Aberdeen Division A,,Description,https://simpler.grants.gov/opportunity/f5f4733a-6a75-4fa6-8b84-886dda443440,2025-09-12,2025-03-10,,2025-10-12,simpler.grants.gov,4a12e1f90d6e52ce
,Centers for Disease Control-GHC,,Description,https://simpler.grants.gov/opportunity/f80ad4ea-1f46-4190-afbb-ab56ea84dcc8,2025-10-01,2025-03-10,,2025-10-12,simpler.grants.gov,4a3ba8edc4b7d3e3
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/b7317f5a-7b2f-4451-85b0-08a91b47c238,2024-09-14,2025-03-10,,2025-10-12,simpler.grants.gov,4a537f9b154548b6
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/d9d8266b-d094-4677-b40c-7c46848eb1c5,2019-11-04,2025-03-10,,2025-10-12,simpler.grants.gov,4aa91703ac0f1637
,Employment and Training Administration,,Description,https://simpler.grants.gov/opportunity/2d73af39-739e-42e4-8696-f4515dff15e9,2025-09-30,2025-03-10,,2025-10-12,simpler.grants.gov,4ab7e935bb3b8eed
,Fish and Wildlife Service,,Description,https://simpler.grants.gov/opportunity/09452f26-2638-409e-856b-3d6541fa8cc1,2025-08-28,2025-03-10,,2025-10-12,simpler.grants.gov,4adef31f2726a0a3
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/c60d4388-38d0-4023-8f5f-94bc2b7f70bb,2024-03-08,2025-03-10,,2025-10-12,simpler.grants.gov,4af1aaf3bc3b88f4
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/fa3f6853-3451-4057-b777-0d034e642d9b,2024-11-18,2025-03-10,,2025-10-12,simpler.grants.gov,4b01471f487e6d29
,U.S. Mission to Venezuela,,Description,https://simpler.grants.gov/opportunity/605c24fc-1570-4d7d-bd73-c47514b94612,2020-12-21,2025-03-10,,2025-10-12,simpler.grants.gov,4b1b95a2786e3490
,U.S. National Science Foundation,,Description,https://simpler.grants.gov/opportunity/d4268bdd-718e-40f1-8754-b42a26df3aed,2024-12-14,2025-03-10,,2025-10-12,simpler.grants.gov,4b904c136347e35d
,National Institutes of Health,,Description,https://simpler.grants.gov/opportunity/dd972703-73da-446d-a2b1-f29368c80df7,2023-08-11,2025-03-10,,2025-10-12,simpler.grants.gov,4ba6ddf6605db3cd
,Food and Drug Administration,,Description,https://simpler.grants.gov/opportunity/9f506d94-0ad4-4b56-998d-4ddb82ce92b9,2024-08-14,2025-03-10,,2025-10-12,simpler.grants.gov,4bdf5974b223d89a
